X_1 Y_1 X_2 Y_2 X_3 Y_3 X_4 Y_4 X_5 Y_5 X_6 Y_6 X_7 Y_7 X_8 Y_8 X_9 Y_9 X_10 Y_10 
7.16028 5.53609 7.78419 4.02661 3.46127 -0.308045 -0.404616 5.47261 2.8201 4.32049 0.0364949 9.80227 7.1759 9.05333 4.13414 4.03029 3.92698 7.28051 6.43627 3.26106
7.0756 5.59669 7.79321 4.16868 3.5543 -0.338718 -0.404907 5.38476 2.82079 4.16346 -0.0171924 9.74842 7.09234 9.09335 4.15654 3.97338 3.85103 7.24131 6.52293 3.29153
6.98774 5.64995 7.79336 4.3105 3.64801 -0.367508 -0.404009 5.29698 2.83196 4.00513 -0.0701618 9.69395 7.00779 9.13146 4.18126 3.91735 3.77689 7.19954 6.61031 3.32675
6.89721 5.69554 7.78468 4.45125 3.74238 -0.394402 -0.401896 5.2093 2.85365 3.84611 -0.122409 9.63886 6.92229 9.16766 4.20829 3.86229 3.70463 7.15524 6.69815 3.36704
6.80463 5.73323 7.76728 4.5901 3.83739 -0.419385 -0.398542 5.12177 2.88585 3.68712 -0.173932 9.58315 6.83589 9.20195 4.23757 3.8083 3.63429 7.10849 6.78611 3.41267
6.71067 5.76283 7.74135 4.72624 3.93302 -0.442443 -0.393918 5.03439 2.92853 3.52895 -0.224727 9.52683 6.74863 9.23431 4.26907 3.75545 3.56592 7.05934 6.87384 3.46385
6.61608 5.78423 7.70716 4.85891 4.02926 -0.463562 -0.388 4.94721 2.98158 3.37249 -0.274792 9.46991 6.66057 9.26475 4.30276 3.70382 3.49956 7.00786 6.9609 3.52073
6.52167 5.79741 7.66502 4.98739 4.1261 -0.482729 -0.380762 4.86022 3.04482 3.21872 -0.324126 9.41238 6.57174 9.29326 4.33861 3.6535 3.43525 6.95409 7.04685 3.58339
6.4283 5.80244 7.61531 5.11106 4.22352 -0.49993 -0.37218 4.77346 3.11798 3.06868 -0.372728 9.35426 6.48219 9.31983 4.37661 3.60455 3.37302 6.89811 7.13119 3.65184
6.33689 5.79946 7.55848 5.22937 4.32152 -0.515154 -0.362234 4.68692 3.2007 2.92342 -0.420595 9.29556 6.39197 9.34445 4.41672 3.55704 3.31291 6.83999 7.2134 3.72601
6.24833 5.7887 7.49501 5.34189 4.42009 -0.52839 -0.350905 4.60063 3.29255 2.78394 -0.467725 9.23627 6.30113 9.36711 4.45894 3.51107 3.25495 6.77978 7.29294 3.80577
6.16353 5.77051 7.42545 5.44826 4.51922 -0.53963 -0.338176 4.51458 3.39305 2.6512 -0.514118 9.17642 6.20972 9.3878 4.50324 3.4667 3.19918 6.71756 7.36925 3.89094
6.08335 5.74528 7.35038 5.54824 4.61891 -0.548869 -0.324033 4.42878 3.50164 2.52601 -0.559769 9.116 6.11776 9.4065 4.5496 3.42401 3.14564 6.6534 7.44179 3.98126
6.00861 5.7135 7.27041 5.64163 4.71916 -0.556104 -0.308466 4.34325 3.61776 2.40907 -0.604676 9.05503 6.02532 9.42322 4.598 3.38308 3.09434 6.58737 7.51 4.07642
5.94004 5.67577 7.18615 5.72831 4.81995 -0.561337 -0.291465 4.25798 3.74087 2.30094 -0.648835 8.99353 5.93243 9.43793 4.64839 3.344 3.04534 6.51955 7.57339 4.17607
5.8783 5.63278 7.09819 5.80819 4.92129 -0.56457 -0.273024 4.17299 3.87043 2.20208 -0.69224 8.93149 5.83913 9.45065 4.70074 3.30681 2.99867 6.45003 7.63147 4.27981
5.82391 5.58533 7.00712 5.88118 5.02317 -0.565813 -0.253136 4.08828 4.00592 2.11284 -0.734886 8.86893 5.74546 9.46135 4.75499 3.2716 2.95437 6.37888 7.68386 4.38721
5.77727 5.53433 6.91347 5.94718 5.12558 -0.565078 -0.231798 4.00386 4.14687 2.03348 -0.776765 8.80587 5.65148 9.47003 4.81107 3.23839 2.91248 6.30618 7.73022 4.49784
5.73861 5.48081 6.81776 6.00607 5.22851 -0.562381 -0.209006 3.91974 4.29285 1.96426 -0.817872 8.74231 5.55722 9.47671 4.86892 3.20724 2.87305 6.23203 7.77026 4.61124
5.70799 5.42591 6.72048 6.05772 5.33195 -0.557746 -0.184759 3.83594 4.44346 1.90538 -0.858198 8.67826 5.46272 9.48137 4.92848 3.17816 2.83613 6.15649 7.80381 4.72696
5.68528 5.37079 6.62213 6.10205 5.43588 -0.551198 -0.159055 3.75247 4.59834 1.85705 -0.897734 8.61373 5.36804 9.48404 4.98965 3.15117 2.80177 6.07965 7.83073 4.84455
5.67021 5.31664 6.52316 6.13899 5.54029 -0.54277 -0.131893 3.66934 4.75712 1.81951 -0.936473 8.54874 5.27322 9.4847 5.05235 3.12627 2.77002 6.00158 7.85095 4.96357
5.66235 5.26458 6.42404 6.16854 5.64513 -0.532499 -0.10327 3.58657 4.91947 1.79301 -0.974405 8.48328 5.17832 9.48338 5.11651 3.10343 2.74093 5.92236 7.86446 5.08357
5.6612 5.21564 6.3252 6.19076 5.75038 -0.520428 -0.0731863 3.50418 5.08506 1.77783 -1.01152 8.41737 5.08339 9.48009 5.18203 3.08262 2.71455 5.84205 7.87127 5.20412
5.66617 5.17069 6.22706 6.20577 5.85597 -0.506603 -0.0416396 3.42218 5.2535 1.7743 -1.04781 8.35102 4.98849 9.47483 5.24883 3.06378 2.69093 5.76073 7.87147 5.32481
